"emp_no","birth_date","first_name","last_name","gender","hire_date"
"10001","1953-09-02","Georgi","Facello","M","1986-06-26"
"10002","1964-06-02","Bezalel","Simmel","F","1985-11-21"
"10003","1959-12-03","Parto","Bamford","M","1986-08-28"
"10004","1954-05-01","Chirstian","Koblick","M","1986-12-01"
"10005","1955-01-21","Kyoichi","Maliniak","M","1989-09-12"
"10006","1953-04-20","Anneke","Preusig","F","1989-06-02"
"10007","1957-05-23","Tzvetan","Zielinski","F","1989-02-10"
"10009","1952-04-19","Sumant","Peac","F","1985-02-18"
"10010","1963-06-01","Duangkaew","Piveteau","F","1989-08-24"
"10013","1963-06-07","Eberhardt","Terkki","M","1985-10-20"
"10014","1956-02-12","Berni","Genin","M","1987-03-11"
"10015","1959-08-19","Guoxiang","Nooteboom","M","1987-07-02"
"10018","1954-06-19","Kazuhide","Peha","F","1987-04-03"
"10021","1960-02-20","Ramzi","Erde","M","1988-02-10"
"10023","1953-09-29","Bojan","Montemayor","F","1989-12-17"
"10025","1958-10-31","Prasadram","Heyers","M","1987-08-17"
"10027","1962-07-10","Divier","Reistad","F","1989-07-07"
"10029","1956-12-13","Otmar","Herbst","M","1985-11-20"
"10033","1956-11-14","Arif","Merlo","M","1987-03-18"
"10034","1962-12-29","Bader","Swan","M","1988-09-21"
"10035","1953-02-08","Alain","Chappelet","M","1988-09-05"
"10038","1960-07-20","Huan","Lortz","M","1989-09-20"
"10039","1959-10-01","Alejandro","Brender","M","1988-01-19"
"10041","1959-08-27","Uri","Lenart","F","1989-11-12"
"10045","1957-08-14","Moss","Shanbhogue","M","1989-09-02"
"10047","1952-06-29","Zvonko","Nyanchama","M","1989-03-31"
"10048","1963-07-11","Florian","Syrotiuk","M","1985-02-24"
"10052","1961-02-26","Heping","Nitsch","M","1988-05-21"
"10053","1954-09-13","Sanjiv","Zschoche","F","1986-02-04"
"10058","1954-10-01","Berhard","McFarlin","M","1987-04-13"
"10060","1961-10-15","Breannda","Billingsley","M","1987-11-02"
"10061","1962-10-19","Tse","Herber","M","1985-09-17"
"10063","1952-08-06","Gino","Leonhardt","F","1989-04-08"
"10064","1959-04-07","Udi","Jansch","M","1985-11-20"
"10065","1963-04-14","Satosi","Awdeh","M","1988-05-18"
"10066","1952-11-13","Kwee","Schusler","M","1986-02-26"
"10067","1953-01-07","Claudi","Stavenow","M","1987-03-04"
"10068","1962-11-26","Charlene","Brattka","M","1987-08-07"
"10069","1960-09-06","Margareta","Bierman","F","1989-11-05"
"10070","1955-08-20","Reuven","Garigliano","M","1985-10-14"
"10071","1958-01-21","Hisao","Lipner","M","1987-10-01"
"10072","1952-05-15","Hironoby","Sidou","F","1988-07-21"
"10075","1960-03-09","Gao","Dolinsky","F","1987-03-19"
"10076","1952-06-13","Erez","Ritzmann","F","1985-07-09"
"10078","1959-12-25","Danel","Mondadori","F","1987-05-26"
"10079","1961-10-05","Kshitij","Gils","F","1986-03-27"
"10080","1957-12-03","Premal","Baek","M","1985-11-19"
"10081","1960-12-17","Zhongwei","Rosen","M","1986-10-30"
"10083","1959-07-23","Vishv","Zockler","M","1987-03-31"
"10087","1959-07-23","Xinglin","Eugenio","F","1986-09-08"
"10088","1954-02-25","Jungsoon","Syrzycki","F","1988-09-02"
"10089","1963-03-21","Sudharsan","Flasterstein","F","1986-08-12"
"10090","1961-05-30","Kendra","Hofting","M","1986-03-14"
"10092","1964-10-18","Valdiodio","Niizuma","F","1989-09-22"
"10094","1957-05-25","Arumugam","Ossenbruggen","F","1987-04-18"
"10095","1965-01-03","Hilari","Morton","M","1986-07-15"
"10098","1961-09-23","Sreekrishna","Servieres","F","1985-05-13"
"10099","1956-05-25","Valter","Sullins","F","1988-10-18"
"10100","1953-04-21","Hironobu","Haraldson","F","1987-09-21"
"10103","1953-11-26","Akemi","Birch","M","1986-12-02"
"10104","1961-11-19","Xinyu","Warwick","M","1987-04-16"
"10108","1952-04-07","Lunjin","Giveon","M","1986-10-02"
"10110","1957-03-07","Xuejia","Ullian","F","1986-08-22"
"10111","1963-08-29","Hugo","Rosis","F","1988-06-19"
"10112","1963-08-13","Yuichiro","Swick","F","1985-10-08"
"10113","1963-11-13","Jaewon","Syrzycki","M","1989-12-24"
"10115","1964-12-25","Chikara","Rissland","M","1986-01-23"
"10116","1955-08-26","Dayanand","Czap","F","1985-05-28"
"10119","1960-12-01","Domenick","Peltason","M","1986-03-14"
"10121","1962-07-14","Guoxiang","Ramsay","M","1989-05-03"
"10126","1954-08-07","Kayoko","Valtorta","M","1985-09-08"
"10127","1952-02-24","Subir","Baja","F","1989-01-14"
"10128","1958-02-15","Babette","Lamba","F","1988-06-06"
"10129","1955-12-02","Armond","Peir","M","1985-12-10"
"10130","1955-04-27","Nishit","Casperson","M","1988-06-21"
"10133","1963-12-12","Giri","Isaak","M","1985-12-15"
"10134","1953-04-15","Diederik","Siprelle","M","1987-12-12"
"10135","1956-12-23","Nathan","Monkewich","M","1988-02-19"
"10136","1961-09-14","Zissis","Pintelas","M","1986-02-11"
"10137","1959-07-30","Maren","Hutton","M","1985-02-18"
"10138","1955-04-24","Perry","Shimshoni","M","1986-09-18"
"10143","1961-07-16","Sakthirel","Bakhtari","M","1988-09-30"
"10144","1959-06-17","Marla","Brendel","M","1985-10-14"
"10145","1956-03-30","Akemi","Esposito","F","1987-08-01"
"10146","1959-01-12","Chenyi","Syang","M","1988-06-28"
"10147","1964-10-13","Kazuhito","Encarnacion","M","1986-08-21"
"10149","1953-05-20","Xiadong","Perry","F","1986-11-05"
"10150","1955-01-29","Zhenbing","Perng","F","1986-11-16"
"10152","1954-12-01","Jaques","Munro","F","1986-01-27"
"10153","1955-12-15","Heekeun","Majewski","M","1987-04-08"
"10156","1964-09-19","Sumali","Fargier","M","1985-03-10"
"10157","1954-04-23","Nigel","Aloisi","M","1985-11-02"
"10158","1958-04-01","Khedija","Mitsuhashi","M","1986-01-29"
"10160","1953-10-18","Debatosh","Khasidashvili","M","1989-01-30"
"10161","1953-04-06","Hairong","Mellouli","F","1988-04-03"
"10163","1952-09-17","Karsten","Szmurlo","M","1989-07-19"
"10164","1956-01-19","Jagoda","Braunmuhl","M","1985-11-12"
"10165","1960-06-16","Miyeon","Macedo","M","1988-05-17"
"10168","1964-09-11","Dharmaraja","Stassinopoulos","M","1986-12-06"
